accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618569
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.647531
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.688592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.721473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.753784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78661
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.860432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.889799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959713
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.993674
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.070036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.129474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.161227
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195222
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.265565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.338556
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.367178
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.409939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.441689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.468504
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.508385
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538026
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.577435
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.638698
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678477
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70752
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02859985
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05719971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1091883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1370075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666516
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1954959
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2622062
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2933821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323082
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3647775
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3995922
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4333762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4618324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5021577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531909
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5629431
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603502
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6377099
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733258
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7018757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7425346
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7719311
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8121461
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846186
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8808661
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9134994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9438061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9764047
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017691
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
right_to_left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03342732
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06685465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08685465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1186822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15471
